Year,squirrel_id,taglft,tagrt,gr,locx,locy,reflo,sq_fate,2nd?,Confirmed present,OBS 1,Date 1,Date 2,CA1,CA2,Width,Length,No_Quad,Quad_area,Q1A_old,Q1A_new,Q1B_old,Q1B_new,Q2A_old,Q2A_new,Q2B_old,Q2B_new,Q3A_old,Q3A_new,Q3B_old,Q3B_new,Q4A_old,Q4A_new,Q4B_old,Q4B_new,total_old,total_new,
2023,25753,M7639,S6543,KL,-6.0,10.0,-610,21,,,BLS,14-Sep,,4,,570,590,8,0.9,548,2,138,0,329,0,7,0,376,0,181,0,254,0,559,0,2392,2,
2023,25917,M9982,M9983,KL,-5.0,13.0,-513,21,,,NKMH,22-Sep,,4,,440,730,8,0.9,14,0,45,0,208,0,106,0,18,0,36,0,60,0,575,0,1062,0,
2023,100051,M8357,M8359,KL,-1.0,10.0,-110,21,,,NKMH,21-Sep,,4,,720,890,8,0.9,54,0,16,0,21,0,166,0,88,0,3,0,86,0,84,0,518,0,
2023,25837,M9728,M9729,KL,-3.0,8.0,-38,21,,,NKMH,22-Sep,,3,,360,390,8,0.9,330,0,748,0,475,0,143,0,36,1,87,0,155,0,535,0,2509,1,
2023,100103,M8452,M8453,KL,-2.0,7.0,-27,21,,,NKMH,21-Sep,,2,,480,710,8,0.9,26,0,30,5,42,14,26,0,27,1,62,3,30,0,16,0,259,23,
2023,25983,M8364,M9906,KL,-7.5,9.0,-7.9,21,,,SB,21-Sep,,4,,480,520,8,0.9,189,0,231,0,101,0,129,0,80,0,129,0,3,0,141,0,1003,0,
2023,25854,M7662,-,KL,-4.5,13.0,-4.13,21,,,NKMH,22-Sep,,4,,460,570,8,0.9,5,0,47,0,20,0,50,0,68,0,261,0,312,0,38,0,801,0,
2023,25835,M9747,M9748,KL,-2.5,5.0,-2.5,21,,,NKMH,22-Sep,,1,,280,320,8,0.9,12,0,3,0,3,0,5,0,2,0,1,0,2,0,1,0,29,0,
2023,100227,M8443,M8444,KL,-1.5,8.5,-1.8.,21,,,NKMH,21-Sep,,4,,690,670,8,0.9,35,0,161,0,196,0,210,0,6,5,133,1,162,0,217,0,1120,6,
2023,25852,M7664,M7665,KL,A.0,10.5,A10.,21,,,SB,20-Sep,,3,,420,590,8,0.9,9,0,37,0,14,0,21,0,16,0,53,0,0,0,10,0,160,0,
2023,100233,M8485,M8486,KL,C.5,19.0,C.19,21,,,NKMH,20-Sep,,1,,330,500,8,0.9,47,0,6,0,2,0,11,0,28,0,11,0,2,0,18,0,125,0,
2023,25914,S6548 ,M7699,KL,C.0,13.0,C13,21,,,NKMH,20-Sep,,3,,400,510,8,0.9,52,0,79,0,17,1,1,0,72,0,59,0,213,0,35,0,528,1,
2023,24256,M6359,M5169,KL,C.0,2.5,C2.,21,,,NKMH,16-Sep,,1,,370,580,8,0.9,13,0,4,0,28,0,22,0,35,0,42,0,82,0,95,0,321,0,Also rattled at B2
2023,25186,M7860,M7861,KL,F.0,17.0,F17,21,,,SB,19-Sep,,4,,390,560,8,0.9,26,0,35,0,11,0,126,0,7,0,44,1,43,0,5,0,297,1,
